#x_ref_m;y_ref_m;width_right_m;width_left_m;x_normvec_m;y_normvec_m;alpha_m;s_racetraj_m;psi_racetraj_rad;kappa_racetraj_radpm;vx_racetraj_mps;ax_racetraj_mps2
4.7790826;-239.9111232;7.7051834;7.5948166;-0.9998224;-0.0188483;5.9138201;239.9578651;-3.140305;0.0005349;64.8465748;0.1540345
4.8918111;-245.9087581;7.7214088;7.5785912;-0.9998245;-0.0187354;6.0030597;245.9565605;-3.134141;0.0015233;64.8575737;-0.0186832
5.0038506;-251.9063701;7.73765;7.56235;-0.9998267;-0.0186188;6.0376497;251.9546494;-3.122663;0.0022351;64.8500148;-0.2732736
5.1165502;-257.9038959;7.7538574;7.5461426;-0.999816;-0.019185;5.9931242;257.9568555;-3.1079309;0.0026211;64.8186325;-0.6961615
5.2367504;-263.9010228;7.7700585;7.5299415;-0.9997769;-0.0211213;5.8623019;263.9681413;-3.0918024;0.0027389;64.7395238;-1.2886502
5.372665;-269.8973754;7.7606406;7.5393594;-0.9997016;-0.0244279;5.6481762;269.9889232;-3.0752648;0.0027693;64.6055642;-1.9132993
5.5325078;-275.8925787;7.7439963;7.5560037;-0.9995764;-0.0291051;5.3573274;276.0190589;-3.0586373;0.0027738;64.41235;-2.5476279
5.7244926;-281.8862574;7.7156281;7.5843719;-0.9993819;-0.0351528;4.99748;282.0578996;-3.0419945;0.0027762;64.16032;-3.1147647
5.9568331;-287.8780363;7.6582118;7.6417882;-0.9990935;-0.0425701;4.5765802;288.1044057;-3.0253228;0.002784;63.8567544;-3.5516969
6.2377432;-293.8675402;7.6352543;7.6647457;-0.9986805;-0.0513551;4.1024847;294.1572715;-3.0085846;0.0027982;63.5143946;-3.8230217
6.5754366;-299.8543939;7.6683021;7.6316979;-0.9981069;-0.0615038;3.5829039;300.2150396;-2.9917478;0.0028167;63.1482478;-3.952491
6.9781273;-305.8382222;7.707855;7.592145;-0.9973312;-0.0730098;3.0254381;306.2762077;-2.9747895;0.0028385;62.7706874;-3.9694288
7.4540288;-311.81865;7.7472374;7.5527626;-0.9963069;-0.0858633;2.4375907;312.3393348;-2.9576937;0.0028624;62.391609;-3.9069122
8.0113328;-317.7952224;7.7861155;7.5138845;-0.9949838;-0.1000358;1.8267416;318.4030416;-2.9404384;0.0028916;62.017735;-3.801448
8.6577177;-323.765654;7.8072901;7.4927099;-0.9933151;-0.1154345;1.1999419;324.4643097;-2.9229933;0.0029261;61.6524301;-3.6842251
9.4003485;-329.7258276;7.8143505;7.4856495;-0.9912428;-0.1320517;0.564018;330.5188406;-2.905337;0.0029612;61.2963075;-3.5775272
10.2463679;-335.6715466;7.821764;7.478236;-0.9887023;-0.1498925;-0.074102;336.562655;-2.8874736;0.0029949;60.9479214;-3.4990515
11.2029186;-341.5986141;7.8288628;7.4711372;-0.9856232;-0.1689585;-0.7073353;342.5922226;-2.8694135;0.0030268;60.6043031;-3.4471385
12.2771435;-347.5028334;7.8327959;7.4672041;-0.9819296;-0.1892463;-1.3284738;348.6045623;-2.8511673;0.003057;60.2639344;-3.3865537
13.4761852;-353.3800078;7.8362548;7.4637452;-0.9775409;-0.210746;-1.9302423;354.5973528;-2.8327444;0.0030856;59.928269;-3.3092695
14.8071864;-359.2259404;7.8403781;7.4596219;-0.9723713;-0.2334397;-2.5053458;360.5690471;-2.8141559;0.0031123;59.5987666;-3.2263624
